#x, y, z, milliseconds, timeInMilliseconds
0.0353664, -0.0468552, 0.0208437, 46, 46
0.0601607, -0.0625584, 0.0528717, 50, 50
-0.00319637, -0.00842677, 0.0919199, 46, 46
-0.0200101, 0.0533283, 0.00628742, 48, 48
-0.0120082, -0.00093685, -0.0651807, 47, 46
-0.011604, 0.0152661, -0.0184363, 48, 49
0.0046872, -0.000362323, 0.0208755, 47, 47
0.0114374, -0.0326224, -0.0492271, 49, 48
-0.0281874, -0.0170053, -0.0973458, 48, 48
0.0354924, -0.0393997, 0.0368477, 48, 48
0.00417397, 0.0065995, -0.0330746, 46, 46
0.0432996, -0.0167536, -0.0414596, 49, 48
-0.011054, -0.0087851, 0.0366243, 47, 47
0.020814, 0.00710158, 0.0456188, 48, 48
0.00510932, 0.0158378, 0.0688476, 48, 47
-0.0591611, 0.0460754, 0.00587363, 48, 48
-0.0193418, -0.0464804, 0.0596049, 48, 48
0.0276191, -0.0630437, -0.025969, 49, 48
0.0123553, -0.016045, 0.0527447, 51, 54
0.0274044, -0.0240567, -0.0416572, 42, 39
-0.0196468, 0.00711217, 0.036653, 49, 50
0.0432627, -0.0326939, -0.0489311, 47, 46
0.0118029, -0.0323566, -0.00995432, 48, 48
-0.0428757, -0.00871987, 0.0363286, 48, 49
-0.0501011, 0.0537494, 0.0600034, 47, 45
-0.011006, -0.0320127, 0.0364667, 48, 48
-0.0339871, 0.0159677, 0.0758474, 49, 49
0.00465134, -0.0554532, 0.00577413, 46, 47
-0.0428775, 0.0304599, 0.0451851, 47, 47
-0.0349493, 0.0226117, -0.0259667, 49, 50
-0.0739908, 0.0459877, -0.0102171, 47, 47
-0.00403287, 0.00689142, 0.00611831, 48, 48
-0.00447072, 0.00655441, -0.041745, 47, 47
-0.0437882, -0.0326156, -0.0656937, 48, 48
0.0348485, -0.000736536, -0.0254768, 47, 49
-0.0111698, 0.0156095, 0.0294268, 50, 49
0.0048475, -0.0088018, 0.0367717, 45, 48
-0.0504559, -0.000301734, 0.0130001, 47, 44
-0.0497367, 0.00755924, 0.0915958, 49, 49
0.00476305, -0.0394738, 0.0206097, 47, 47
-0.0423729, 0.0466861, 0.100522, 48, 47
0.0120748, 0.0155784, 0.0296424, 48, 48
-0.0197866, -0.0394685, 0.0130184, 48, 48
-0.00425424, 0.00671315, -0.0184268, 48, 50
-0.0200531, 0.0227527, -0.00251244, 49, 47
0.00405544, 0.0297527, -0.0415074, 46, 45
0.0193942, 0.0146607, -0.104051, 47, 47
-0.0428157, 0.0390485, 0.0526074, 54, 58
0.0351151, 0.0153678, 0.00654036, 43, 39
-0.0198828, -0.0236347, 0.00576292, 47, 47
-0.0193934, -0.0159376, 0.0598129, 48, 48
-0.00368417, 0.0157133, 0.0454493, 47, 46
-0.0501354, 0.0304956, 0.0524814, 48, 48
-0.0108977, -0.0159996, 0.0525287, 47, 47
0.0045809, -0.02366, 0.00598955, 48, 48
0.0277128, -0.0323876, -0.00980651, 50, 50
-0.0506796, 0.006861, -0.0102679, 45, 46
0.0504734, -0.00953128, -0.0572966, 50, 50
-0.043195, 0.0461154, 0.0133844, 46, 48
-0.0116962, -0.0165828, -0.0333805, 49, 47
0.0202215, -0.0397906, -0.02588, 46, 46
0.0348149, -0.0704773, -0.041906, 49, 49
0.059442, 0.0531451, -0.00156552, 47, 47
-0.0663759, 0.0462046, 0.0205322, 48, 48
0.0285566, 0.0159894, 0.0923807, 50, 50
0.0204328, 0.0533206, 0.0140255, 45, 45
0.0117631, -0.016452, -0.0098469, 50, 49
0.0509827, 0.0300276, 0.00678702, 47, 46
0.0203409, -0.0237965, -0.00981734, 51, 54
0.0277138, 0.0386276, 0.00662917, 44, 40
0.0591495, 0.00646379, -0.041155, 49, 49
0.0352454, -0.0236698, 0.0136374, 47, 47
0.0119942, 0.0155215, 0.0210514, 56, 56
-0.0278296, -0.0240356, -0.0581243, 40, 39
-0.0897279, 0.0620888, 0.0130605, 47, 48
-0.0111354, -0.00881295, 0.02926, 49, 48
0.0505955, -0.000850675, -0.0412845, 47, 47
0.0282189, -0.000160289, 0.0529997, 49, 49
