#x, y, z, milliseconds, timeInMilliseconds
408.75, 428.4, -57.3, 218, 218
406.5, 431.7, -55.2, 219, 221
409.5, 429.6, -56.1, 219, 218
408.3, 429.6, -57.3, 220, 220
408.9, 429.75, -57, 219, 219
408.45, 431.25, -55.2, 220, 220
408.15, 429.45, -55.95, 219, 219
408.45, 430.95, -57, 219, 219
409.05, 430.35, -57.3, 220, 220
407.25, 430.2, -55.5, 219, 219
407.25, 429.75, -57.45, 219, 219
408.9, 430.95, -57.45, 220, 221
408.45, 430.2, -56.25, 219, 220
408.3, 429.6, -54.6, 219, 220
409.05, 429.6, -55.65, 220, 220
408.15, 429, -56.7, 218, 217
408.75, 430.35, -57.3, 229, 231
408.3, 431.1, -54.9, 211, 210
408.3, 431.1, -57.6, 219, 218
407.7, 429.45, -56.25, 219, 219
407.85, 430.35, -56.85, 220, 220
410.1, 430.2, -57.75, 219, 219
408.9, 432.15, -56.7, 219, 220
408.45, 430.2, -55.95, 220, 220
408.45, 429.75, -57.45, 219, 219
408.75, 431.1, -56.85, 219, 220
407.55, 431.85, -54.9, 226, 226
407.55, 430.35, -56.85, 213, 213
408.9, 431.25, -56.25, 220, 220
407.55, 429.9, -54.9, 220, 220
409.95, 431.85, -56.4, 218, 218
409.05, 430.8, -56.85, 220, 220
408.9, 430.5, -55.95, 219, 220
408.3, 431.1, -56.1, 220, 220
408.15, 429.75, -55.95, 219, 222
408.45, 430.2, -55.95, 220, 217
408.45, 429.75, -56.7, 219, 219
407.85, 429.9, -56.85, 220, 220
408.45, 430.2, -54.3, 221, 221
407.55, 430.35, -56.1, 218, 218
407.7, 429.75, -56.7, 220, 220
407.7, 430.2, -56.7, 220, 221
409.05, 431.1, -56.4, 219, 219
408.45, 430.95, -55.95, 220, 220
408.45, 431.25, -56.7, 221, 221
406.35, 429.6, -57.3, 218, 218
408.45, 428.55, -55.5, 229, 232
408.75, 431.1, -56.4, 210, 207
408.3, 429.15, -54.9, 220, 220
408.3, 430.8, -57.6, 219, 219
408.15, 430.5, -57, 221, 221
408.3, 430.35, -57.3, 217, 218
408.3, 431.1, -56.85, 220, 223
409.5, 430.35, -57.6, 219, 217
408.45, 429.75, -55.5, 219, 218
408.75, 429.15, -56.1, 219, 220
408.45, 430.5, -56.7, 221, 222
407.25, 429.75, -57, 218, 216
409.05, 429.9, -56.1, 220, 221
406.95, 430.95, -56.7, 221, 220
405.75, 429.75, -57, 218, 218
409.05, 430.8, -56.1, 220, 221
407.55, 431.1, -55.65, 220, 219
409.65, 429.45, -57, 219, 219
407.85, 430.8, -56.4, 219, 220
409.5, 429.9, -56.4, 222, 222
406.35, 429.6, -55.35, 227, 229
407.25, 431.25, -57, 209, 207
408.45, 430.95, -57, 220, 220
408.15, 430.2, -55.2, 219, 219
408.15, 430.5, -56.25, 220, 220
409.35, 429.75, -56.25, 220, 220
408.3, 430.8, -56.4, 219, 219
406.5, 430.95, -55.5, 220, 221
407.25, 430.5, -55.5, 221, 220
409.35, 430.5, -55.5, 218, 217
409.65, 431.25, -55.5, 220, 220
408.75, 430.8, -56.1, 220, 220
405.3, 431.7, -55.2, 219, 219
407.25, 429.75, -54.75, 220, 220
408.45, 429.75, -57.75, 220, 220
408.45, 429.75, -55.2, 217, 217
407.55, 429.15, -56.85, 220, 220
408.15, 430.5, -55.2, 221, 221
408.3, 429.9, -54.6, 220, 220
408.15, 429.75, -55.95, 218, 218
407.85, 430.8, -55.65, 228, 230
408.15, 429.75, -57.45, 211, 210
408.15, 430.5, -57, 219, 219
407.25, 430.5, -56.7, 221, 221
406.65, 431.1, -56.4, 218, 218
408.75, 431.85, -58.35, 219, 220
408.45, 431.25, -56.25, 221, 221
409.5, 430.35, -56.85, 219, 218
408.3, 429.15, -55.65, 221, 220
407.85, 431.55, -55.65, 220, 220
408.9, 430.2, -55.95, 229, 230
407.85, 430.8, -55.35, 208, 208
409.05, 431.85, -56.4, 220, 219
408.3, 431.1, -56.1, 221, 220
407.1, 429.15, -56.4, 218, 218
407.85, 430.35, -56.4, 220, 220
408.9, 430.5, -55.5, 219, 219
409.65, 431.25, -55.95, 220, 220
408.9, 430.5, -54.75, 220, 221
408.45, 430.5, -56.25, 218, 218
408.75, 431.55, -56.1, 228, 229
408.75, 429.9, -56.85, 212, 212
406.95, 430.2, -55.5, 219, 218
406.95, 430.5, -57, 220, 220
410.55, 430.5, -58.2, 220, 220
408.3, 429.15, -56.1, 218, 218
406.95, 430.95, -55.5, 220, 222
405.9, 430.35, -56.4, 220, 217
408.9, 430.2, -57.45, 220, 220
408.3, 430.8, -58.05, 218, 219
408.45, 429.45, -57, 227, 229
407.25, 431.25, -57.75, 212, 209
408.45, 431.25, -57, 220, 220
408.45, 430.95, -55.5, 220, 220
408.9, 429.45, -56.25, 218, 218
407.1, 430.35, -55.65, 220, 221
409.95, 430.35, -56.1, 220, 219
408.15, 429.75, -56.25, 219, 219
408.15, 429.75, -56.25, 221, 221
408.9, 429.75, -56.25, 220, 220
405.9, 429.15, -56.1, 226, 226
408.3, 430.8, -56.1, 212, 211
408.15, 430.2, -57, 220, 219
408.45, 429.75, -57.45, 220, 220
407.7, 429.45, -56.25, 218, 218
409.35, 429.75, -56.7, 220, 220
407.7, 430.5, -56.25, 219, 219
408.75, 430.8, -56.85, 220, 220
408.3, 431.1, -56.4, 220, 221
408.3, 430.8, -56.1, 218, 217
408.75, 430.8, -56.1, 229, 230
408.9, 429.75, -57, 211, 211
408.9, 430.5, -58.5, 219, 219
408.3, 429.6, -56.1, 220, 220
408.9, 429.75, -55.95, 220, 221
407.55, 431.1, -55.65, 218, 217
408.45, 430.2, -57, 220, 221
409.05, 429.9, -56.4, 219, 219
407.1, 429.15, -56.85, 221, 220
406.65, 429.6, -55.35, 218, 219
407.85, 429.15, -56.85, 228, 228
408.3, 429.9, -56.4, 211, 210
408.45, 430.95, -55.95, 219, 220
408.3, 430.8, -56.1, 221, 220
407.25, 430.2, -57.45, 218, 218
408.9, 429.45, -56.25, 219, 219
408.45, 430.95, -56.25, 220, 221
407.85, 430.35, -56.4, 219, 219
407.85, 430.35, -56.4, 221, 221
409.35, 431.25, -57, 220, 220
408.9, 430.2, -57, 229, 229
408.9, 431.7, -56.7, 209, 208
408.75, 429.9, -56.85, 220, 220
407.55, 429.6, -56.85, 221, 221
408.15, 430.2, -55.95, 219, 219
409.95, 429.9, -57.3, 219, 219
408.9, 431.25, -56.7, 219, 219
407.7, 432.15, -55.95, 220, 220
410.55, 429.45, -55.95, 221, 220
406.95, 430.2, -56.7, 218, 219
406.95, 431.25, -55.5, 229, 231
408.15, 430.5, -55.5, 211, 209
407.7, 430.2, -57.45, 219, 218
409.5, 429.9, -56.85, 220, 220
407.7, 430.95, -57, 220, 220
406.65, 431.55, -56.4, 218, 218
407.7, 430.2, -55.5, 220, 221
408.45, 430.5, -57, 220, 218
406.5, 430.5, -57, 220, 221
407.7, 428.55, -55.2, 218, 218
408.75, 431.1, -54.9, 228, 229
407.7, 430.2, -57, 213, 211
408.15, 429.45, -55.5, 218, 218
408.15, 430.5, -56.7, 221, 220
409.35, 430.5, -58.2, 218, 218
407.1, 430.35, -57.3, 220, 221
407.85, 431.1, -56.1, 219, 219
407.85, 429.9, -55.65, 219, 219
408.75, 430.8, -56.1, 221, 221
409.05, 430.8, -55.65, 220, 220
408.3, 429.9, -56.4, 227, 227
407.85, 429.15, -54.6, 210, 210
409.35, 430.2, -56.25, 220, 220
409.05, 431.1, -55.65, 220, 220
408.15, 430.5, -56.7, 219, 219
409.05, 429.9, -54.9, 219, 219
409.35, 430.95, -56.7, 219, 219
407.7, 430.95, -56.25, 220, 220
406.05, 430.2, -55.5, 220, 220
408.9, 431.25, -55.5, 218, 218
408.3, 430.35, -55.35, 229, 230
408.75, 429.6, -56.85, 210, 210
406.95, 431.25, -55.5, 219, 218
407.7, 432.15, -55.5, 220, 220
409.65, 430.2, -56.25, 220, 220
407.85, 430.35, -56.4, 218, 218
408.15, 430.95, -57, 220, 221
408.3, 429.9, -55.35, 219, 218
408.9, 430.5, -55.2, 220, 220
409.05, 430.8, -56.85, 219, 219
408.3, 429.9, -56.1, 226, 226
407.7, 430.2, -55.95, 213, 212
408.15, 430.2, -55.2, 221, 221
407.7, 430.2, -57.45, 219, 219
407.85, 432.3, -56.4, 218, 218
407.85, 429.9, -55.65, 220, 220
407.7, 430.95, -56.7, 219, 219
408.15, 430.2, -55.5, 219, 220
408.3, 430.8, -56.1, 220, 220
407.1, 429.6, -56.85, 220, 220
408.45, 430.95, -57, 225, 226
407.85, 430.35, -55.65, 214, 214
408.75, 429.6, -55.35, 218, 218
