#x, y, z, sqrtSum, milliseconds, timeInMilliseconds
9.79655, -0.736324, -0.179311, 9.82582, 83, 83
9.78611, -0.791918, -0.210209, 9.82035, 85, 85
9.78655, -0.728236, -0.184565, 9.81534, 83, 83
9.80304, -0.775566, -0.22906, 9.83634, 83, 83
9.83142, -0.752281, -0.183851, 9.86187, 85, 85
9.86135, -0.755285, -0.204989, 9.89235, 85, 84
9.84116, -0.761295, -0.206478, 9.87272, 82, 84
9.80853, -0.764122, -0.197415, 9.84023, 87, 85
9.78985, -0.770881, -0.21323, 9.82247, 83, 83
9.77459, -0.778574, -0.192843, 9.80744, 84, 84
9.79106, -0.774816, -0.212462, 9.82397, 83, 84
9.79478, -0.757537, -0.194372, 9.82596, 83, 83
9.8232, -0.7643, -0.200429, 9.85493, 84, 84
9.84564, -0.757539, -0.201204, 9.87679, 93, 95
9.81573, -0.764299, -0.206454, 9.84761, 74, 72
9.79554, -0.768807, -0.201911, 9.82774, 86, 86
9.76936, -0.770308, -0.202641, 9.80178, 83, 83
9.76937, -0.783831, -0.211687, 9.80305, 85, 85
9.80779, -0.759613, -0.207216, 9.83935, 83, 82
9.83546, -0.764874, -0.198948, 9.86716, 83, 83
9.85265, -0.752103, -0.196703, 9.88327, 85, 85
9.83219, -0.762797, -0.208731, 9.86394, 84, 85
9.7891, -0.767125, -0.210968, 9.82138, 84, 84
9.7731, -0.78233, -0.194349, 9.80628, 84, 84
9.76787, -0.779323, -0.207162, 9.8011, 83, 84
9.80406, -0.773136, -0.210227, 9.83674, 84, 84
9.83592, -0.749274, -0.200442, 9.86645, 83, 83
9.83667, -0.781581, -0.198932, 9.86967, 83, 83
9.82469, -0.767306, -0.193645, 9.85651, 84, 84
9.80451, -0.780077, -0.198902, 9.8375, 85, 85
9.77955, -0.765979, -0.198865, 9.81151, 82, 83
9.77833, -0.780077, -0.189077, 9.81121, 85, 85
9.77983, -0.753029, -0.195112, 9.81071, 90, 92
9.8277, -0.771812, -0.212496, 9.86025, 78, 75
9.84415, -0.748523, -0.206482, 9.87473, 83, 82
9.82994, -0.773316, -0.204204, 9.86242, 83, 84
9.81348, -0.782331, -0.195895, 9.84656, 85, 85
9.79405, -0.774065, -0.213219, 9.82691, 84, 84
9.7701, -0.764298, -0.189824, 9.80179, 83, 83
9.79675, -0.765979, -0.199635, 9.82867, 86, 87
9.82097, -0.768056, -0.209474, 9.85318, 81, 81
9.8322, -0.767304, -0.22004, 9.86455, 85, 85
9.84564, -0.744767, -0.199698, 9.87579, 82, 83
9.80599, -0.778575, -0.186087, 9.83861, 83, 83
9.7918, -0.77106, -0.201907, 9.82419, 85, 85
9.77955, -0.769735, -0.205651, 9.81195, 85, 85
9.78777, -0.772741, -0.201888, 9.82031, 84, 84
9.82292, -0.762975, -0.201922, 9.85458, 83, 82
9.83666, -0.76355, -0.19441, 9.86817, 85, 85
9.8379, -0.769736, -0.220784, 9.87043, 85, 85
9.8117, -0.763726, -0.201157, 9.84344, 82, 82
9.78028, -0.779504, -0.183032, 9.813, 86, 87
9.79105, -0.763547, -0.201153, 9.82284, 82, 81
9.79226, -0.765979, -0.201139, 9.82423, 84, 84
9.81471, -0.768984, -0.214731, 9.84713, 83, 83
9.8446, -0.774247, -0.192139, 9.87687, 83, 83
9.82965, -0.75997, -0.19665, 9.86094, 85, 85
9.82967, -0.765979, -0.220777, 9.86194, 84, 84
9.80647, -0.775746, -0.203413, 9.83921, 83, 84
9.78028, -0.790022, -0.179261, 9.81377, 83, 82
9.79303, -0.764475, -0.219235, 9.82527, 85, 86
9.80124, -0.768233, -0.207179, 9.83348, 85, 84
9.8274, -0.752457, -0.193633, 9.85807, 83, 83
9.84163, -0.756965, -0.209479, 9.87292, 83, 83
9.82442, -0.773493, -0.208708, 9.85704, 85, 85
9.80048, -0.756212, -0.19964, 9.83164, 84, 84
9.79375, -0.763725, -0.198125, 9.82548, 83, 83
9.77431, -0.794529, -0.194334, 9.80847, 83, 83
9.80694, -0.748125, -0.208679, 9.83765, 85, 85
9.82444, -0.756963, -0.222281, 9.85606, 84, 84
9.83489, -0.747198, -0.200426, 9.86527, 83, 86
